ID,UUID,Username,Email,Password,Stage,Strategy,CompletedTutorial,DateOfBirth,AccountCreatedTime
31,1jLmtE7XzPMa8teRAAAR,testa1,testa1,$2a$05$FRuP8M8rPKxrOKVEwng0U.cU75upEFKkBqF1wVp4Y4kED9uKhPl.m,4,1,1,testa1,2024-05-07 09:23:38
32,rsAo_qfLCt7PCPORAAAT,testa2,testa2,$2a$05$YEIe4LESKbifxiU1WADMQOZPr6bInaNPI1PZQbQzp317UlpNj1XP.,1,1,1,testa2,2024-05-07 09:24:00
33,fylpGyhU5Qe7pAnyAAAV,testa3,testa3,$2a$05$H4fDaO2YSnCz2FzOOjwXVeDXrZTRUvU0VXu/kkt/.pGyrS8q8hquG,3,1,1,testa3,2024-05-07 09:24:38
34,PALxVWhooHlCW9j3AAAX,testa4,testa4,$2a$05$7InxfIljrqsRGAxx5kROp.wZCtfyxt0dar9ZJUnbVkH/H4HmsmGLK,5,1,1,testa4,2024-05-07 09:24:55
35,dx6HLOZEDKmaCST5AAAZ,testa5,testa5,$2a$05$gnWAkkeDQAq7JC5bri.M7ON8W5SgjBhQ5TIszecDJOIQz0PPpFOLa,3,1,1,testa5,2024-05-07 09:25:11
36,4Fl_EYZVnJ7nWF03AAAb,testa6,testa6,$2a$05$yJG0NBzQPMnTKn/cWYRt3eju5xSmTliHHidqS7bThPGsRtq9mbxW2,4,1,1,testa6,2024-05-07 09:25:29
37,Rg6nr3A3bbeBHh3KAAAd,testa7,testa7,$2a$05$1MTC7W7hsACGqzOp0pkeM.gv3KMAzDsipT/QeZu.nnipX6bPuuQri,5,1,1,testa7,2024-05-07 09:25:46
38,Y9ngur7k6OmTYYBPAAAf,testa8,testa8,$2a$05$Fp4pUpgz2ZXKi61Xo5S7QukmqxHWi7JDeLtEpu648Ji3VXEJgs5PO,5,1,1,testa8,2024-05-07 09:26:07
39,SJJTIutnAj4I0LS2AAAh,testa9,testa9,$2a$05$EufkAqB9/tQED4SYdraW1OUASmwCGX11YqBUHK95QlW0kyh/dOCMy,5,1,1,testa9,2024-05-07 09:26:24
40,nvlVowK_v_SEtt-GAAAj,testa10,testa10,$2a$05$Ro3Cs7RofFud46BdIhrynONvZMect9rEwdWdGOEljcAV.Lke1qjhu,4,1,1,testa10,2024-05-07 09:26:44
41,TGyo_2l5fO5GmmRoAAAl,testa11,testa11,$2a$05$NGsk11Cf.7/DOiHkQ4jyhO7scb9ILRbAhapTbywp1z0ftSLDC2eMe,1,1,,testa11,2024-05-07 09:27:13
42,x7MoEaO1ki75nSO3AAAn,testa12,testa12,$2a$05$KR7TKwtK6qovBDGoPBnDlODM8KZgUKPcl5T7lT2jNlw1iC9M1Gbn.,1,1,,testa12,2024-05-07 09:27:33
43,Uy1AEvPKA7AzM4v9AAAp,testa13,testa13,$2a$05$S0Kx1/lQwY0mAzUU9PABmuRE99qO0GmMWEKF5Xi959qEI8dMsslO.,1,1,,testa13,2024-05-07 09:27:48
44,eGT4x94DNr71pXf8AAAr,testa14,testa14,$2a$05$fTxe1wky/PWJgU06tSXUreuiUElikxH.p9ACBlAaVl7yIQCfCZXNe,1,1,,testa14,2024-05-07 09:28:01
45,1jnS7ybuZTZKvwHRAAAt,testa15,testa15,$2a$05$F9hdtWBmXL.SjjKwLC0xkeNbm8/J0FHNzcHVNk5OwzhRP3xYNgTBS,1,1,,testa15,2024-05-07 09:28:20
46,Qx1fXcHMLE53HF6bAAAv,testa16,testa16,$2a$05$ISW9TW2TE.5G9fMwxVfKhuJ96cSwTWaWTqTmGmjuJs9zDDljlU9Yq,1,1,,testa16,2024-05-07 09:28:45
47,k1WjeLJ8SszfVSGcAAAx,testa17,testa17,$2a$05$DpbCIeXYk714xoIrPANLwuADpVBm7Peq4eGSoXLmoesqn/if91aLi,1,1,,testa17,2024-05-07 09:29:08
49,PyH67yMBLOLagfbOAAA1,testa18,testa18,$2a$05$Z3xNFxzxn4fFLLR7tLLxEO/ZCnzs0I14LmojV1dqhMkld4Tou9udK,1,1,,testa18,2024-05-07 09:30:17
50,PrgA5_jBYh_fWlGYAAA3,testa19,testa19,$2a$05$Y7IgiX8HYVOvmbvArYjVO.UEhSjZRtLwEYQprv98Ho/7IfhOa4X8C,1,1,,testa19,2024-05-07 09:30:55
51,YFP6Ps2tEO9PrbyxAAA5,testa20,testa20,$2a$05$uI4UpF.E4ynIKAv6soXDlOfKOgEe.fTRB3B0Zzo9/nhn3Vfqc7Csq,5,1,1,testa20,2024-05-07 09:31:17
52,3OsqidngVrrAV-leAAA7,testb1,testb1,$2a$05$uoeVw/BpYsNc/aufQ3s4L.NmTl/d9jwKw7R8/sPh41aHdLT/4PcBG,2,2,1,testb1,2024-05-07 09:31:34
53,VoEkpZinYBUc3jpRAAA9,testb2,testb2,$2a$05$84PNh7F9RuXt7GRBN1WNWOWi3B29/JIqg/EyB8LLtsmT3JWftEHoK,3,2,1,testb2,2024-05-07 09:31:53
54,s2nfYhGS4fTK8Iu_AAA_,testb3,testb3,$2a$05$VcVndFf3ppBp7p.oBwRpROHkn/G0qTJ0lpi5lvJzxcgsdtp564LgO,1,2,1,testb3,2024-05-07 09:32:18
55,9rpW3FLCKiDEz8RwAABB,testb4,testb4,$2a$05$5Y0bprgKKvfs7nluMiGNdOWyvtEWuEsw4.GwfCrllB3.IiiYSnZH2,5,2,1,testb4,2024-05-07 09:32:30
56,JZgHiBslyBitiwL1AABD,testb5,testb5,$2a$05$a581XvAH9BqebDJnRqwsdOXH67rjJgc7lzdYqHWGS8zS1lxZ2I9BG,3,2,1,testb5,2024-05-07 09:32:44
57,nmOV8_RXO3E6PhvsAABF,testb6,testb6,$2a$05$kmquJL5YCkGsuyOhLBYNJ.wuio.YAjlmrJOrZ0hCvtBeLM9IGRxk.,1,2,1,testb6,2024-05-07 09:33:44
58,FGWD9j3hY-iq4DD0AABH,testb7,testb7,$2a$05$Gc/2BQuSFD3XTvPS6x3UEulQfMxBkeBuWLuFlUjYNXN6jBKa9UIJO,5,2,1,testb7,2024-05-07 09:34:03
60,igLMHCi2rW5BJtBRAABL,testb9,testb9,$2a$05$CwBvqsEc9.46oa4Bi6VakeNudotH1szLTBaLyR1/60XqVi/lsLf7u,3,2,1,testb9,2024-05-07 09:34:46
61,kThCRoR8eb5IJ9YlAABN,testb10,testb10,$2a$05$beHycV/LyXn2RT0XR01lDOjlUatAfyB4DLKuxWld1sC4bNztUa0le,5,2,1,testb10,2024-05-07 09:35:11
62,xApw-oukcR8Rdp7gAABP,testb11,testb11,$2a$05$V9ePk3N2C4TILXC6x0jDzO.XM0Qs4V2XOMzetJ6nVI3O5qSYifL9C,1,2,,testb11,2024-05-07 09:35:31
63,hOUnqz3l0sYeBdVoAABR,testb12,testb12,$2a$05$wFiOQ7G24BEPaVPzzm1mgOYsYDh4Mj2zjnxtPA4oiR7uFSG/DQpGO,1,2,,testb12,2024-05-07 09:35:45
64,UMxqNaYL_eTBtr0LAABT,testb13,testb13,$2a$05$Eqq2NhELuJqyXySgvkYHkO9JkDDvVBzMGBt8JLUiIX7JqvgtLGcWy,1,2,,testb13,2024-05-07 09:35:58
65,ZmMJs4Rb9vAFgJItAABV,testb14,testb14,$2a$05$eHaI14K6juLIlKymBpqaiuOHzClOvzjS/B2qsu14qKD7lIqXZYcf.,1,2,,testb14,2024-05-07 09:36:12
